Type,ICC,F,df1,df2,pval,CI95
"ICC(1,1)",0.9918434302010121,244.20111386138564,101,102,2.589106369992453e-93,[0.99 0.99]
"ICC(A,1)",0.9918431831775747,242.40110565110515,101,101,2.544702638997059e-92,[0.99 0.99]
"ICC(C,1)",0.9917831104560927,242.40110565110515,101,101,2.544702638997059e-92,[0.99 0.99]
"ICC(1,k)",0.9959050145833175,244.20111386138564,101,102,2.589106369992453e-93,[0.99 1.  ]
"ICC(A,k)",0.9959048900579548,242.40110565110515,101,101,2.544702638997059e-92,[0.99 1.  ]
"ICC(C,k)",0.9958746062757677,242.40110565110515,101,101,2.544702638997059e-92,[0.99 1.  ]
