,Source,SS,DF,F,p_unc,np2
0,Group,39929.5895236312,1,6741.404535049016,7.137104701402322e-93,0.9855271717494569
1,CPSES_Pre_Total,16.19304735592674,1,2.7339094687387773,0.10140624535342918,0.026873138789371545
2,Residual,586.3806781342705,99,,,
